railway,highway,name,longitude,latitude,skor_hambatan
,crossing,,107.7159624,-6.9327255,0.4
,crossing,,107.7158159,-6.9324414,0.4
,bus_stop,UIN SGD/Cipadung,107.7157532,-6.9323756,0.7
,bus_stop,,107.7157424,-6.9324943,0.7
,crossing,,107.7121931,-6.929892,0.4
,bus_stop,,107.7108139,-6.9265413,0.7
,crossing,,107.7106107,-6.9253373,0.4
,bus_stop,Ujung Berung,107.7004467,-6.914024,0.7
,traffic_signals,Rumah Sakit,107.6993869,-6.9140921,0.8
,bus_stop,Cijambe,107.6897602,-6.910638,0.7
,bus_stop,Cicukang,107.6867142,-6.9075897,0.7
,bus_stop,Pasir Impun,107.6776188,-6.9047757,0.7
,bus_stop,,107.6749963,-6.9046706,0.7
,bus_stop,Arcamanik/Pacuan Kuda,107.6730663,-6.9049324,0.7
,bus_stop,Angkot Stop,107.6718333,-6.9043624,0.7
,crossing,,107.6666269,-6.9041857,0.4
,bus_stop,Cikadut,107.6653297,-6.9040593,0.7
,crossing,,107.6649534,-6.904001,0.4
,crossing,,107.6649075,-6.9039959,0.4
,crossing,,107.6642475,-6.9039306,0.4
,bus_stop,Seberang Terminal Cicaheum,107.6568655,-6.9021064,0.7
,bus_stop,Depan Terminal Cicaheum,107.6568631,-6.9021978,0.7
,bus_stop,Depan Terminal Cicaheum,107.6568052,-6.9022292,0.7
,bus_stop,Seberang Terminal Cicaheum,107.6567951,-6.9020762,0.7
,bus_stop,Terminal Bus TMB,107.6565181,-6.9023295,0.7
,crossing,,107.6552301,-6.9020294,0.4
,crossing,,107.6552235,-6.9021121,0.4
,traffic_signals,Cicaheum,107.6551205,-6.9020246,0.8
,traffic_signals,,107.6550496,-6.9021051,0.8
,crossing,,107.6548916,-6.9020103,0.4
,crossing,,107.6548848,-6.9020918,0.4
,bus_stop,Cimuncang,107.6501141,-6.9050201,0.7
,crossing,,107.6498843,-6.9052135,0.4
,crossing,,107.6495236,-6.9054025,0.4
,bus_stop,BCA Cimuncang,107.6483487,-6.9061022,0.7
,bus_stop,Gateway Cicadas,107.6459755,-6.9073207,0.7
,crossing,,107.6438391,-6.9138357,0.4
,crossing,,107.6437957,-6.9138028,0.4
,crossing,,107.6437931,-6.9137693,0.4
,crossing,,107.6437835,-6.9136403,0.4
,crossing,,107.6437754,-6.9135366,0.4
,crossing,,107.6437403,-6.9138071,0.4
,traffic_signals,,107.6437379,-6.9137773,0.8
,traffic_signals,,107.6437243,-6.9136467,0.8
,crossing,,107.6437133,-6.9135412,0.4
,crossing,,107.6436739,-6.9138156,0.4
,traffic_signals,,107.6436719,-6.9137883,0.8
,traffic_signals,,107.6436582,-6.9136539,0.8
,crossing,,107.6436482,-6.913546,0.4
,crossing,,107.6436092,-6.9138387,0.4
,crossing,,107.643606,-6.9137967,0.4
,crossing,,107.643596,-6.9136606,0.4
,crossing,,107.6435945,-6.9135544,0.4
,crossing,,107.6435804,-6.9138673,0.4
,bus_stop,BTM,107.6435354,-6.9112835,0.7
,bus_stop,BTM,107.6434706,-6.9112712,0.7
,bus_stop,Kiara Artha,107.6429873,-6.9139486,0.7
,crossing,,107.6403133,-6.9142125,0.4
,bus_stop,WUJ Jalan Banten,107.6399073,-6.914282,0.7
,bus_stop,WUJ,107.6399016,-6.9142036,0.7
,bus_stop,STMIK,107.6382039,-6.9145037,0.7
,crossing,,107.6371438,-6.9145467,0.4
,bus_stop,GOR KONI,107.6362581,-6.914741,0.7
,crossing,,107.6345271,-6.91342,0.4
,bus_stop,A.Yani/WR Supratman,107.6345199,-6.9132656,0.7
,crossing,,107.6344916,-6.9133543,0.4
,traffic_signals,,107.6343866,-6.9134014,0.8
,traffic_signals,,107.6343789,-6.9135037,0.8
,traffic_signals,,107.6342976,-6.9134457,0.8
,crossing,,107.6342142,-6.913577,0.4
,crossing,,107.6341769,-6.9135072,0.4
,bus_stop,Sekolah Agustinus,107.6331886,-6.9139814,0.7
,crossing,,107.6328365,-6.9142566,0.4
,bus_stop,IBCC,107.6328349,-6.9143539,0.7
,bus_stop,Jalan Mangga,107.6310523,-6.9150747,0.7
,bus_stop,Stadion Persib,107.6304185,-6.9155713,0.7
,crossing,,107.6302079,-6.9158371,0.4
,crossing,,107.6301221,-6.9157388,0.4
,crossing,,107.6301117,-6.9158472,0.4
,crossing,,107.630088,-6.9156756,0.4
,crossing,,107.6300799,-6.9155545,0.4
,traffic_signals,,107.6300714,-6.9157678,0.8
,traffic_signals,,107.6300393,-6.9157014,0.8
,crossing,,107.6300294,-6.9158899,0.4
,crossing,,107.629994,-6.9156036,0.4
,traffic_signals,,107.6299922,-6.9158161,0.8
,traffic_signals,,107.6299627,-6.9157488,0.8
,crossing,,107.6299427,-6.9159345,0.4
,crossing,,107.629917,-6.9156449,0.4
,crossing,,107.6299136,-6.9158592,0.4
,crossing,,107.6298809,-6.9157977,0.4
,crossing,,107.6298237,-6.9157037,0.4
,bus_stop,Stadion Persib Sidolig,107.6293434,-6.9162591,0.7
,bus_stop,Dinas Pendidikan Kota Bandung,107.6286916,-6.9164091,0.7
,crossing,,107.6283753,-6.9165374,0.4
,traffic_signals,,107.6273596,-6.9171941,0.8
,traffic_signals,,107.627332,-6.9171495,0.8
,bus_stop,Jaya Plaza,107.6269255,-6.9175163,0.7
,bus_stop,Jaya Plaza,107.6268117,-6.9173661,0.7
,bus_stop,Segitiga Mas,107.6258492,-6.9178881,0.7
level_crossing,,,107.6249188,-6.9184878,0.9
level_crossing,,,107.6248712,-6.9185141,0.9
level_crossing,,,107.6248252,-6.9184603,0.9
level_crossing,,,107.624774,-6.9184895,0.9
,bus_stop,Cikudapateuh,107.6245892,-6.9187119,0.7
,bus_stop,Cikudapateuh,107.6245415,-6.9186929,0.7
,bus_stop,Cikudapateuh,107.6245097,-6.9186418,0.7
,bus_stop,Kantor Pos Kosambi,107.6235428,-6.9192619,0.7
,bus_stop,Pasar Kosambi,107.6221462,-6.9198411,0.7
,bus_stop,Seberang Pasar Kosambi,107.622089,-6.9200374,0.7
,bus_stop,Seberang Pasar Kosambi,107.6220644,-6.9199617,0.7
,bus_stop,Ketapang,107.6198657,-6.9212009,0.7
,bus_stop,Ketapang,107.6198025,-6.921077,0.7
,crossing,,107.6191038,-6.9215541,0.4
,crossing,,107.61903,-6.9213991,0.4
,traffic_signals,,107.6179842,-6.9224646,0.8
,traffic_signals,,107.6179492,-6.9221334,0.8
,traffic_signals,Simpang Lima,107.6175959,-6.9224232,0.8
,bus_stop,Asia Afrika,107.6158841,-6.922296,0.7
,crossing,,107.6120369,-6.9216114,0.4
,traffic_signals,Tamblong,107.6120224,-6.9217352,0.8
,crossing,,107.6120063,-6.9218752,0.4
,crossing,,107.611823,-6.9216623,0.4
,crossing,,107.6114915,-6.9217428,0.4
,crossing,,107.6114248,-6.921614,0.4
,crossing,,107.6112436,-6.921592,0.4
,bus_stop,Gedung Keuangan Negara/KM 0,107.6110432,-6.9217014,0.7
,crossing,,107.6108492,-6.9215441,0.4
,crossing,,107.6108355,-6.9216586,0.4
,crossing,,107.610623,-6.9216314,0.4
,crossing,,107.6104323,-6.9214939,0.4
,crossing,,107.610219,-6.9214727,0.4
,crossing,,107.6101381,-6.9215692,0.4
,crossing,,107.6099738,-6.9215481,0.4
,crossing,,107.6099361,-6.9214856,0.4
,crossing,,107.6098359,-6.9213854,0.4
,traffic_signals,Gedung Merdeka,107.6098247,-6.9214728,0.8
,crossing,,107.6094515,-6.9214907,0.4
,crossing,,107.6092735,-6.9214668,0.4
,crossing,,107.6088891,-6.9213611,0.4
,crossing,,107.6088034,-6.9212299,0.4
,crossing,,107.6080614,-6.9211551,0.4
,crossing,,107.6077715,-6.9214111,0.4
,crossing,,107.6076364,-6.9214042,0.4
,crossing,,107.6075804,-6.9211409,0.4
,crossing,,107.6075591,-6.9213622,0.4
,crossing,,107.6072504,-6.9210993,0.4
,bus_stop,Alun-Alun Bandung,107.607149,-6.9212854,0.7
,crossing,,107.6066723,-6.9211072,0.4
,crossing,,107.6064789,-6.9208813,0.4
,traffic_signals,,107.6042519,-6.9208229,0.8
,crossing,,107.6042261,-6.9208199,0.4
,traffic_signals,,107.6041071,-6.9207069,0.8
,crossing,,107.6040892,-6.9209261,0.4
,bus_stop,Dalem Kaum,107.6040641,-6.9219917,0.7
,crossing,,107.6040621,-6.9231284,0.4
,crossing,,107.6040601,-6.9231521,0.4
,bus_stop,Toko Mas ABC,107.6040007,-6.9230321,0.7
,bus_stop,Otista/Kalipah Apo,107.6038724,-6.923931,0.7
,traffic_signals,,107.6038271,-6.9272103,0.8
,traffic_signals,,107.6036969,-6.9271072,0.8
,bus_stop,Simpang Ijan,107.6036723,-6.9280476,0.7
,traffic_signals,,107.6035691,-6.9271889,0.8
,bus_stop,Otista/Ibu Inggit Ganarsih,107.6034038,-6.9313301,0.7
,bus_stop,Taman Tegallega,107.6033297,-6.934006,0.7
,bus_stop,,107.6032694,-6.9353639,0.7
,crossing,,107.6032382,-6.9336792,0.4
,crossing,,107.6031763,-6.9372532,0.4
,crossing,,107.6031703,-6.9373463,0.4
,crossing,,107.6031632,-6.9371099,0.4
,crossing,,107.6030927,-6.9371305,0.4
,traffic_signals,,107.60308,-6.9372447,0.8
,traffic_signals,,107.6030687,-6.9373365,0.8
,crossing,,107.6030186,-6.9374274,0.4
,bus_stop,Taman Tegallega,107.6030151,-6.9364866,0.7
,crossing,,107.6030097,-6.9371213,0.4
,traffic_signals,,107.6030002,-6.9372376,0.8
,traffic_signals,,107.6029953,-6.9373294,0.8
,crossing,,107.6028903,-6.9372279,0.4
,crossing,,107.6028855,-6.9373188,0.4
,bus_stop,Muara,107.5999215,-6.9375565,0.7
,traffic_signals,,107.597167,-6.937696,0.8
,traffic_signals,,107.5971376,-6.937801,0.8
,traffic_signals,,107.5970826,-6.9376843,0.8
,traffic_signals,,107.5970548,-6.9377924,0.8
,crossing,,107.5970266,-6.9376757,0.4
,crossing,,107.5970082,-6.9377848,0.4
,bus_stop,Rumah Sakit Immanuel A,107.5957177,-6.9371582,0.7
,bus_stop,Rumah Sakit Immanuel B,107.5955215,-6.9373737,0.7
,,,,,0.0
,,,,,0.0
,,,,,0.0
,,,,,0.0
,,,,,0.0
,,,,,0.0
,,,,,0.0
,,,,,0.0
,,,,,0.0
,,,,,0.0
,,,,,0.0
,crossing,,107.5950156,-6.9368375,0.4
,traffic_signals,,107.5949807,-6.9370518,0.8
,crossing,,107.5949722,-6.9369162,0.4
,traffic_signals,,107.5949436,-6.9371168,0.8
,crossing,,107.5949168,-6.9370168,0.4
,crossing,,107.5948364,-6.9370866,0.4
,crossing,,107.5941015,-6.9385696,0.4
,bus_stop,SDN Babakan Tarogong,107.5940999,-6.9384699,0.7
,crossing,,107.5912147,-6.9432302,0.4
,crossing,,107.5910845,-6.9435862,0.4
,crossing,,107.5896591,-6.945447,0.4
,traffic_signals,,107.5897357,-6.9454843,0.8
,traffic_signals,,107.5896531,-6.9454988,0.8
,traffic_signals,,107.5897942,-6.9455112,0.8
,traffic_signals,,107.5897088,-6.945521,0.8
,traffic_signals,,107.5897693,-6.9455492,0.8
,crossing,,107.5899025,-6.94555,0.4
,crossing,,107.5898471,-6.9455853,0.4
,crossing,,107.5895172,-6.9456683,0.4
,traffic_signals,,107.5895751,-6.9456911,0.8
,crossing,,107.5894178,-6.9457021,0.4
,traffic_signals,,107.5896397,-6.9457186,0.8
,traffic_signals,,107.5895459,-6.9457295,0.8
,traffic_signals,,107.5897183,-6.9457513,0.8
,traffic_signals,,107.5896071,-6.9457603,0.8
,bus_stop,Caringin/Kopo,107.5898475,-6.9458067,0.7
,bus_stop,Simpang Kopo,107.5894158,-6.9459642,0.7
,bus_stop,Leuwipanjang Soekarno Hatta,107.5934452,-6.946792,0.7
,crossing,,107.5935172,-6.946847,0.4
,bus_stop,Terminal Bus Leuwipanjang,107.592997,-6.9469193,0.7
,crossing,,107.5934828,-6.9470467,0.4
,crossing,,107.595201,-6.9471108,0.4
,traffic_signals,,107.5952796,-6.9471244,0.8
,crossing,,107.5954007,-6.9471499,0.4
,crossing,,107.5954049,-6.9472261,0.4
,traffic_signals,,107.5951895,-6.9474073,0.8
,traffic_signals,,107.5953913,-6.9474225,0.8
,crossing,,107.5952699,-6.9474227,0.4
,crossing,,107.5953958,-6.9474483,0.4
,crossing,,107.595393,-6.9475025,0.4
,crossing,,107.5952807,-6.9460535,0.4
,crossing,,107.5953699,-6.9460639,0.4
