lat,lng
-6.933546,107.716174
-6.933322,107.716159
-6.932951,107.71601
-6.931992,107.714652
-6.931612,107.713275
-6.931285,107.712866
-6.929875,107.712134
-6.929318,107.711856
-6.927474,107.711078
-6.926545,107.710918
-6.925873,107.710785
-6.925349,107.710636
-6.923256,107.710116
-6.921761,107.709652
-6.921765,107.709657
-6.920337,107.708781
-6.919641,107.70831
-6.917631,107.706259
-6.917105,107.705692
-6.916012,107.704593
-6.915641,107.70421
-6.915067,107.703582
-6.914769,107.703308
-6.914197,107.701827
-6.914151,107.7014
-6.914152,107.700835
-6.914171,107.700496
-6.914188,107.699758
-6.914196,107.699746
-6.914177,107.699254
-6.91418,107.699026
-6.914134,107.698653
-6.91409,107.697632
-6.9134,107.694546
-6.912146,107.691043
-6.910803,107.689775
-6.910702,107.689718
-6.909281,107.688841
-6.909254,107.688798
-6.907821,107.687189
-6.907536,107.686483
-6.90707,107.685374
-6.90696,107.685152
-6.906723,107.684598
-6.906489,107.684057
-6.905833,107.682632
-6.905155,107.68036
-6.904837,107.677763
-6.904746,107.676241
-6.904688,107.67534
-6.904676,107.67419
-6.904913,107.67325
-6.904253,107.670734
-6.904264,107.669942
-6.904214,107.667287
-6.904195,107.666919
-6.903987,107.664966
-6.903919,107.664473
-6.902596,107.660491
-6.902278,107.658294
-6.902253,107.65752
-6.902235,107.656532
-6.902194,107.655664
-6.903337,107.653526
-6.903442,107.65337
-6.904319,107.651627
-6.905487,107.649421
-6.906505,107.647477
-6.9066,107.647311
-6.906629,107.6473
-6.906626,107.647306
-6.907095,107.646405
-6.907355,107.645908
-6.908107,107.644304
-6.908212,107.64421
-6.908311,107.644037
-6.908661,107.64343
-6.909336,107.643254
-6.911215,107.643416
-6.913813,107.643509
-6.913916,107.643078
-6.914144,107.640194
-6.914272,107.639083
-6.914683,107.636217
-6.914577,107.635538
-6.913688,107.634337
-6.914027,107.633414
-6.915762,107.630193
-6.915755,107.630238
-6.91575,107.63024
-6.915744,107.630227
-6.915746,107.630227
-6.915753,107.630183
-6.915753,107.630178
-6.916071,107.629625
-6.916362,107.62912
-6.916427,107.629028
-6.917015,107.627747
-6.917354,107.627072
-6.918534,107.624907
-6.919398,107.623264
-6.919671,107.622735
-6.92056,107.620941
-6.921177,107.619915
-6.92129,107.619664
-6.921777,107.618685
-6.921869,107.618477
-6.922371,107.616982
-6.922294,107.616218
-6.921928,107.614086
-6.921845,107.612482
-6.921851,107.612476
-6.921861,107.612453
-6.921835,107.612165
-6.921581,107.609995
-6.92151,107.609451
-6.921175,107.607227
-6.921181,107.606923
-6.921141,107.606969
-6.921138,107.606973
-6.921108,107.606982
-6.921068,107.607017
-6.921003,107.60657
-6.920957,107.605423
-6.920849,107.604561
-6.920847,107.604565
-6.921686,107.604009
-6.925427,107.603765
-6.927116,107.603673
-6.927252,107.60365
-6.927612,107.603618
-6.928543,107.603522
-6.931496,107.603299
-6.932791,107.603207
-6.933531,107.603158
-6.934843,107.603155
-6.935392,107.603136
-6.936606,107.603087
-6.936828,107.603064
-6.936808,107.603079
-6.936805,107.603082
-6.93681,107.603095
-6.9368,107.603086
-6.937366,107.60284
-6.937309,107.602488
-6.937383,107.600385
-6.937796,107.597714
-6.937749,107.596927
-6.937202,107.595101
-6.939296,107.593704
-6.941567,107.592273
-6.94298,107.591464
-6.943424,107.591178
-6.945234,107.590044
-6.945661,107.58994
-6.947,107.593947
-6.946676,107.59524
-6.946155,107.595282
